,,,,Distribution,,,Valuation ,,,Dates,,,,Time,,,Market Capitalization (Coinmarketcap.com),,,,,Token Returns,,,Ether Returns,,,Bitcoin Returns,,,Excess Returns (Arithmetic Avg),,Monthly CAGR,,
Name,status,Type,Raise,Total Amount of tokens,Amount sold in ICO,% Ownership,Project Valuation,Implied Token Price,Implied Token Price Check,Start Date,ICO End Date,Today,Month,Days,Months,Years,Ticker,available_supply,total_supply,Market Cap,Implied Project Valuation,Token Raise,Token Now,Total Return,ETH Raise,ETH Now,ETH Return,BTC Raise,BTC Now,Bitcoin Return,Excess Return ETH,Excess Return BTC,Token,ETH,BTC
Procommerce,Completed,eCommerce,"$77,000","15,000,053,805","2,815,205",0.02%,"$410,273,548",$0.03,$0.03,1/18/2017,2017-02-27,2017-05-18,Feb17,80,2.666666667,0.2191780822,procurrency,"2,815,205.00","15,000,053,805.00","$293,961","$293,961",$0.03,$0.10,281.77%,$14.83,$85.09,477.01%,"$1,189.71","$1,751.87",47.25%,-195.24%,234.52%,66.42%,94.30%,15.85%
eGaaS,Completed,Electronic government as a service,"$64,000",,,,,,,11/15/2016,2016-12-15,2017-05-18,Dec16,154,5.133333333,0.4219178082,,,,,,,,,,,,,,,,,,,
Spectrecoin,Completed,Cryptocurrency,"$15,427","20,316,079","19,000,000",93.52%,"$16,495",$0.0008,$0.00,11/20/2016,2017-01-08,2017-05-18,Jan17,130,4.333333333,0.3561643836,spectrecoin,"20,329,116.00","20,329,116.00","$761,516","$761,516",$0.00,$0.04,4513.67%,$10.18,$85.09,740.57%,$924.49,"$1,751.87",89.50%,3773.10%,4424.18%,145.10%,64.34%,16.13%
Inchain,Failed,Insurance,$0,,,,,,,10/27/2016,2016-11-24,2017-05-18,Nov16,175,5.833333333,0.4794520548,,,,,,,,,,,,,,,,,,,
Adel,Active,Investing,,,,,,,,5/1/2017,2017-05-31,2017-05-18,May17,-13,-0.4333333333,-0.03561643836,,,,,,,,,,,,,,,,,,,
Aether United,Planned,Gaming,,,,,,,,7/1/2017,2017-07-01,2017-05-18,Jul17,-44,-1.466666667,-0.1205479452,,,,,,,,,,,,,,,,,,,
Air platform,Planned,Service,,,,,,,,6/1/2017,2017-07-31,2017-05-18,Jul17,-74,-2.466666667,-0.202739726,,,,,,,,,,,,,,,,,,,
Akasha,Planned,Social Network,,,,,,,,TBD,TBD,2017-05-18,TBD,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,
Aragon,Planned,Digital Jurisdiction,,,,,,,,17May17,2017-06-16,2017-05-18,Jun17,-29,-0.9666666667,-0.07945205479,,,,,,,,,,,,,,,,,,,
Basic Attention Token,Planned,Advertising,,,,,,,,TBD,TBD,2017-05-18,TBD,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,,
